YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Los Angeles Chargers,15,77,1054,13.7,60,7,49,63.6,14,3
TOTAL,,15,77,1054,13.7,60,7,49,63.6,14,3
