YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Seattle Seahawks,16,96,1121,11.7,46,6,55,57.3,14,2
2023,Seattle Seahawks,17,63,628,10.0,35,4,29,46.0,7,0
TOTAL,,33,159,1749,11.0,46,10,84,52.8,21,2
