YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Tennessee Titans,15,56,857,15.3,63,4,33,58.9,15,4
2023,Jacksonville Jaguars,17,76,1016,13.4,59,8,49,64.5,17,2
2021,Atlanta Falcons,5,31,281,9.1,22,2,16,51.6,3,0
2020,Atlanta Falcons,15,90,1374,15.3,63,9,65,72.2,23,3
2019,Atlanta Falcons,13,63,866,13.8,36,7,47,74.6,12,0
2018,Atlanta Falcons,16,64,821,12.8,75,10,39,60.9,11,4
TOTAL,,81,380,5215,13.7,75,40,249,65.5,81,13
