YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Baltimore Ravens,16,73,1047,14.3,53,4,47,64.4,19,4
2023,Baltimore Ravens,16,77,858,11.1,75,5,41,53.2,12,4
TOTAL,,32,150,1905,12.7,75,9,88,58.7,31,8
