YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Minnesota Vikings,15,92,1387,15.1,97,10,59,64.1,26,4
2023,Minnesota Vikings,10,68,1074,15.8,52,5,51,75.0,25,2
2022,Minnesota Vikings,17,128,1809,14.1,64,8,80,62.5,28,6
2021,Minnesota Vikings,17,108,1616,15.0,56,10,75,69.4,27,5
2020,Minnesota Vikings,16,88,1400,15.9,71,7,58,65.9,23,4
TOTAL,,75,484,7286,15.1,97,40,323,66.7,129,21
