YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Los Angeles Rams,11,79,990,12.5,51,3,47,59.5,11,1
2023,Los Angeles Rams,17,105,1486,14.2,80,6,68,64.8,25,3
TOTAL,,28,184,2476,13.5,80,9,115,62.5,36,4
