YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,San Francisco 49ers,13,63,856,13.6,45,6,43,68.2,12,1
2023,San Francisco 49ers,13,19,265,14.0,31,1,12,63.2,4,0
2022,San Francisco 49ers,16,35,416,11.9,44,1,23,65.7,3,1
2021,San Francisco 49ers,16,24,282,11.8,34,5,15,62.5,4,0
TOTAL,,58,141,1819,12.9,45,13,93,66.0,23,2
