YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Pittsburgh Steelers,13,58,900,15.5,44,3,37,63.8,17,4
2023,Pittsburgh Steelers,17,63,1140,18.1,86,5,41,65.1,22,6
2022,Pittsburgh Steelers,17,52,801,15.4,42,4,38,73.1,17,1
TOTAL,,47,173,2841,16.4,86,12,116,67.1,56,11
