YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,New England Patriots,12,54,421,7.8,41,2,22,40.7,3,1,4
TOTAL,,12,54,421,7.8,41,2,22,40.7,3,1,4
