YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Miami Dolphins,11,17,49,2.9,13,0,5,29.4,0,0,3
2023,Miami Dolphins,17,35,74,2.1,9,0,5,14.3,0,0,9
2022,Miami Dolphins,13,24,70,2.9,18,0,4,16.7,0,0,2
2021,Miami Dolphins,13,42,128,3.0,23,3,13,31.0,1,0,2
2020,Miami Dolphins,10,36,109,3.0,17,3,13,36.1,0,0,0
TOTAL,,64,154,430,2.8,23,6,40,26.0,1,0,16
