YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Buffalo Bills,15,97,514,5.3,30,11,48,49.5,5,0,0
2023,Buffalo Bills,17,111,524,4.7,23,15,57,51.4,1,0,5
2022,Buffalo Bills,16,124,762,6.2,44,7,55,44.4,8,1,7
2021,Buffalo Bills,17,122,763,6.2,34,6,53,43.4,9,0,5
2020,Buffalo Bills,16,102,421,4.1,24,8,38,37.2,2,0,4
2019,Buffalo Bills,16,109,510,4.7,36,9,41,37.6,1,0,7
2018,Buffalo Bills,12,89,631,7.1,45,8,41,46.1,8,1,5
TOTAL,,109,754,4125,5.5,45,64,333,44.2,34,2,33
