YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Green Bay Packers,13,24,77,3.2,14,1,9,37.5,0,0,3
2023,Green Bay Packers,17,50,247,4.9,37,4,16,32.0,4,0,4
2022,Green Bay Packers,4,1,-1,-1.0,-1,0,0,0.0,0,0,0
2021,Green Bay Packers,6,12,27,2.2,10,0,1,8.3,0,0,1
TOTAL,,40,87,350,4.0,37,5,26,29.9,4,0,8
