YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,San Francisco 49ers,14,63,311,4.9,16,4,31,49.2,0,0,2
2023,San Francisco 49ers,16,39,144,3.7,17,2,15,38.5,0,0,2
2022,San Francisco 49ers,9,22,13,0.6,13,1,5,22.7,0,0,0
TOTAL,,39,124,468,3.8,17,7,51,41.1,0,0,4
