YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Baltimore Ravens,16,130,852,6.6,48,4,44,33.8,8,1,6
2023,Baltimore Ravens,16,148,821,5.6,30,5,48,32.4,4,0,4
2022,Baltimore Ravens,12,112,764,6.8,79,3,46,41.1,5,1,2
2021,Baltimore Ravens,12,133,767,5.8,31,2,48,36.1,5,0,3
2020,Baltimore Ravens,15,159,1005,6.3,50,7,56,35.2,10,2,5
2019,Baltimore Ravens,15,176,1206,6.8,47,7,71,40.3,11,1,8
2018,Baltimore Ravens,16,147,695,4.7,39,5,45,30.6,8,0,10
TOTAL,,102,1005,6110,6.1,79,33,358,35.6,51,5,38
