YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Los Angeles Chargers,16,65,264,4.1,38,2,21,32.3,3,0,2
2023,Los Angeles Chargers,13,52,228,4.4,35,3,16,30.8,2,0,1
2022,Los Angeles Chargers,17,54,147,2.7,23,0,17,31.5,1,0,3
2021,Los Angeles Chargers,17,63,302,4.8,36,3,28,44.4,1,0,0
2020,Los Angeles Chargers,15,55,234,4.2,31,5,20,36.4,1,0,4
TOTAL,,78,289,1175,4.1,38,13,102,35.3,8,0,10
