YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Chicago Bears,16,78,479,6.1,24,0,26,33.3,2,0,3
TOTAL,,16,78,479,6.1,24,0,26,33.3,2,0,3
