YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Arizona Cardinals,16,75,550,7.3,50,5,25,33.3,6,2,4
2023,Arizona Cardinals,8,44,244,5.6,33,3,15,34.1,2,0,5
2022,Arizona Cardinals,11,67,418,6.2,42,3,23,34.3,3,1,5
2021,Arizona Cardinals,14,88,423,4.8,57,5,25,28.4,1,1,10
2020,Arizona Cardinals,16,133,819,6.2,48,11,52,39.1,7,1,5
2019,Arizona Cardinals,16,93,544,5.8,35,4,27,29.0,7,0,3
TOTAL,,81,500,2998,6.0,57,31,167,33.4,26,5,32
