YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Minnesota Vikings,15,61,205,3.4,19,1,22,36.1,0,0,3
2023,San Francisco 49ers,10,21,15,0.7,9,1,3,14.3,0,0,1
2022,Carolina Panthers,6,26,106,4.1,26,2,9,34.6,1,0,5
2021,Carolina Panthers,12,48,222,4.6,30,5,21,43.8,2,0,2
2020,New York Jets,12,37,217,5.9,46,2,13,35.1,1,1,0
2019,New York Jets,13,33,62,1.9,24,2,6,18.2,1,0,5
2018,New York Jets,13,44,138,3.1,28,1,16,36.4,1,0,4
TOTAL,,81,270,965,3.6,46,14,90,33.3,6,1,20
