YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Kansas City Chiefs,16,58,307,5.3,33,2,22,37.9,2,0,1
2023,Kansas City Chiefs,16,75,389,5.2,25,0,27,36.0,2,0,1
2022,Kansas City Chiefs,17,61,358,5.9,20,4,25,41.0,1,0,4
2021,Kansas City Chiefs,17,66,381,5.8,32,2,25,37.9,4,0,3
2020,Kansas City Chiefs,15,62,308,5.0,24,2,21,33.9,3,0,2
2019,Kansas City Chiefs,14,43,218,5.1,25,2,15,34.9,3,0,1
2018,Kansas City Chiefs,16,60,272,4.5,28,2,18,30.0,3,0,2
2017,Kansas City Chiefs,1,7,10,1.4,5,0,0,0.0,0,0,0
TOTAL,,112,432,2243,5.2,33,14,153,35.4,18,0,14
