YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Cincinnati Bengals,16,41,202,4.9,47,2,16,39.0,1,1,2
2023,Cincinnati Bengals,10,31,88,2.8,20,0,9,29.0,1,0,0
2022,Cincinnati Bengals,16,75,257,3.4,23,5,27,36.0,2,0,0
2021,Cincinnati Bengals,16,40,118,3.0,12,2,14,35.0,0,0,1
2020,Cincinnati Bengals,10,37,142,3.8,23,3,14,37.8,1,0,4
TOTAL,,68,224,807,3.6,47,12,80,35.7,5,1,7
