Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Calvin Austin III,19,WR,ACT,0,162,4,Memphis,PIT,Pittsburgh Steelers
Chris Boswell,9,K,ACT,0,185,11,Rice,PIT,Pittsburgh Steelers
Pat Freiermuth,88,TE,ACT,0,258,5,Penn State,PIT,Pittsburgh Steelers
Kenneth Gainwell,21,RB,ACT,0,200,5,Memphis,PIT,Pittsburgh Steelers
JJ Galbreath,87,TE,ACT,0,240,1,South Dakota,PIT,Pittsburgh Steelers
Connor Heyward,83,TE,ACT,0,230,4,Michigan State,PIT,Pittsburgh Steelers
Will Howard,18,QB,ACT,0,235,1,Ohio State,PIT,Pittsburgh Steelers
Evan Hull,38,RB,ACT,0,209,2,Northwestern,PIT,Pittsburgh Steelers
Max Hurleman,34,RB,ACT,0,200,1,Notre Dame,PIT,Pittsburgh Steelers
Brandon Johnson,11,WR,ACT,0,195,3,UCF,PIT,Pittsburgh Steelers
Kaleb Johnson,20,RB,ACT,0,225,1,Iowa,PIT,Pittsburgh Steelers
Montana Lemonious-Craig,21,WR,ACT,0,194,1,Arizona,PIT,Pittsburgh Steelers
Lance McCutcheon,82,WR,ACT,0,202,2,Montana State,PIT,Pittsburgh Steelers
DK Metcalf,4,WR,ACT,0,229,7,Mississippi,PIT,Pittsburgh Steelers
Scott Miller,13,WR,ACT,0,174,7,Bowling Green,PIT,Pittsburgh Steelers
Donald Parham,89,TE,RES,0,237,5,Stetson,PIT,Pittsburgh Steelers
Cordarrelle Patterson,84,WR,ACT,0,220,13,Tennessee,PIT,Pittsburgh Steelers
Aaron Rodgers,"",QB,ACT,0,223,21,California,PIT,Pittsburgh Steelers
Mason Rudolph,2,QB,ACT,0,235,8,Oklahoma State,PIT,Pittsburgh Steelers
Ben Sauls,29,K,ACT,0,182,1,Pittsburgh,PIT,Pittsburgh Steelers
Trey Sermon,27,RB,ACT,0,215,5,Ohio State,PIT,Pittsburgh Steelers
Ben Skowronek,15,WR,ACT,0,224,5,Notre Dame,PIT,Pittsburgh Steelers
Roc Taylor,81,WR,ACT,0,213,1,Memphis,PIT,Pittsburgh Steelers
Skylar Thompson,17,QB,ACT,0,219,4,Kansas State,PIT,Pittsburgh Steelers
Jaylen Warren,30,RB,ACT,0,215,4,Oklahoma State,PIT,Pittsburgh Steelers
Darnell Washington,80,TE,ACT,0,265,3,Georgia,PIT,Pittsburgh Steelers
Ke'Shawn Williams,85,WR,ACT,0,189,1,Indiana,PIT,Pittsburgh Steelers
Roman Wilson,10,WR,ACT,0,186,2,Michigan,PIT,Pittsburgh Steelers
Robert Woods,16,WR,ACT,0,190,13,USC,PIT,Pittsburgh Steelers
