Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Elijah Arroyo,18,TE,UDF,0,254,1,Miami,SEA,Seattle Seahawks
AJ Barner,88,TE,ACT,0,251,2,Michigan,SEA,Seattle Seahawks
Jake Bobo,19,WR,ACT,0,207,3,UCLA,SEA,Seattle Seahawks
Tyrone Broden,33,WR,ACT,0,194,1,Arkansas,SEA,Seattle Seahawks
Zach Charbonnet,26,RB,ACT,0,214,3,UCLA,SEA,Seattle Seahawks
Sam Darnold,14,QB,ACT,0,225,8,USC,SEA,Seattle Seahawks
Noah Fant,87,TE,ACT,0,249,7,Iowa,SEA,Seattle Seahawks
Montorie Foster Jr,35,WR,ACT,0,188,1,Michigan State,SEA,Seattle Seahawks
George Holani,36,RB,ACT,0,210,2,Boise State,SEA,Seattle Seahawks
Tory Horton,15,WR,ACT,0,196,1,Colorado State,SEA,Seattle Seahawks
Nick Kallerup,89,TE,ACT,0,266,1,Minnesota,SEA,Seattle Seahawks
Cooper Kupp,10,WR,ACT,0,205,9,Eastern Washington,SEA,Seattle Seahawks
Marshall Lang,49,TE,ACT,0,249,1,Northwestern,SEA,Seattle Seahawks
Drew Lock,2,QB,ACT,0,228,7,Missouri,SEA,Seattle Seahawks
Damien Martinez,22,RB,ACT,0,217,1,Miami,SEA,Seattle Seahawks
Kenny McIntosh,25,RB,ACT,0,204,3,Georgia,SEA,Seattle Seahawks
Jalen Milroe,6,QB,ACT,0,16,1,Alabama,SEA,Seattle Seahawks
Jason Myers,5,K,ACT,0,190,11,Marist,SEA,Seattle Seahawks
Robbie Ouzts,40,RB,ACT,0,274,1,Alabama,SEA,Seattle Seahawks
John Rhys Plumlee,17,WR,ACT,0,200,1,UCF,SEA,Seattle Seahawks
Eric Saubert,81,TE,ACT,0,253,8,Drake,SEA,Seattle Seahawks
Steven Sims,84,WR,ACT,0,190,5,Kansas,SEA,Seattle Seahawks
Jaxon Smith-Njigba,11,WR,ACT,0,197,3,Ohio State,SEA,Seattle Seahawks
Marquez Valdes-Scantling,1,WR,ACT,0,206,8,University of South Florida,SEA,Seattle Seahawks
Kenneth Walker III,9,RB,ACT,0,211,4,Michigan State,SEA,Seattle Seahawks
Cody White,82,WR,ACT,0,215,4,Michigan State,SEA,Seattle Seahawks
Ricky White III,86,WR,ACT,0,184,1,UNLV,SEA,Seattle Seahawks
Jacardia Wright,31,RB,ACT,0,220,1,Missouri State,SEA,Seattle Seahawks
Dareke Young,83,WR,ACT,0,224,4,Lenoir Rhyne,SEA,Seattle Seahawks
