Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Brandon Allen,10,QB,ACT,0,209,9,Arkansas,TEN,Tennessee Titans
Elic Ayomanor,5,WR,ACT,0,206,1,Stanford,TEN,Tennessee Titans
Tim Boyle,15,QB,ACT,0,232,7,Eastern Kentucky,TEN,Tennessee Titans
Treylon Burks,16,WR,ACT,0,225,4,Arkansas,TEN,Tennessee Titans
Julius Chestnut,36,RB,ACT,0,228,4,Sacred Heart University,TEN,Tennessee Titans
Drake Dabney,86,TE,ACT,0,246,1,TCU,TEN,Tennessee Titans
Tyrion Davis-Price,"",RB,ACT,0,219,3,LSU,TEN,Tennessee Titans
Chimere Dike,17,WR,ACT,0,196,1,Florida,TEN,Tennessee Titans
Colton Dowell,14,WR,ACT,0,212,3,Tennessee-Martin,TEN,Tennessee Titans
Gunnar Helm,84,TE,ACT,0,241,1,Texas,TEN,Tennessee Titans
Jha'Quan Jackson,19,WR,ACT,0,188,2,Tulane,TEN,Tennessee Titans
Van Jefferson,11,WR,ACT,0,200,6,Florida,TEN,Tennessee Titans
Mason Kinsey,12,WR,ACT,0,200,3,Berry College,TEN,Tennessee Titans
Will Levis,8,QB,ACT,0,229,3,Kentucky,TEN,Tennessee Titans
Tyler Lockett,4,WR,ACT,0,182,11,Kansas State,TEN,Tennessee Titans
David Martin-Robinson,88,TE,ACT,0,247,2,Temple,TEN,Tennessee Titans
Kalel Mullings,28,RB,ACT,0,226,1,Michigan,TEN,Tennessee Titans
Thomas Odukoya,89,TE,ACT,0,253,2,Eastern Michigan,TEN,Tennessee Titans
Chig Okonkwo,85,TE,ACT,0,238,4,Maryland,TEN,Tennessee Titans
Bryce Oliver,80,WR,ACT,0,214,2,Youngstown State,TEN,Tennessee Titans
Tony Pollard,20,RB,ACT,0,209,7,Memphis,TEN,Tennessee Titans
James Proche,13,WR,ACT,0,193,7,SMU,TEN,Tennessee Titans
Xavier Restrepo,87,WR,ACT,0,202,1,Miami,TEN,Tennessee Titans
Calvin Ridley,"",WR,ACT,0,190,7,Alabama,TEN,Tennessee Titans
T.J. Sheffield,82,WR,ACT,0,188,1,Connecticut,TEN,Tennessee Titans
Joey Slye,6,K,ACT,0,213,7,Virginia Tech,TEN,Tennessee Titans
Tyjae Spears,2,RB,ACT,0,195,3,Tulane,TEN,Tennessee Titans
Cameron Ward,1,QB,ACT,0,219,1,Miami,TEN,Tennessee Titans
Josh Whyle,81,TE,ACT,0,248,3,Cincinnati,TEN,Tennessee Titans
