Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
De'Von Achane,28,RB,ACT,0,188,3,Texas A&M,MIA,Miami Dolphins
Andrew Armstrong,19,WR,ACT,0,202,1,Arkansas,MIA,Miami Dolphins
Monaray Baldwin,48,WR,ACT,0,172,1,Baylor,MIA,Miami Dolphins
Tarik Black,86,WR,ACT,0,213,1,Texas,MIA,Miami Dolphins
Pharaoh Brown,85,TE,ACT,0,246,8,Oregon,MIA,Miami Dolphins
Tanner Conner,80,TE,ACT,0,232,3,Idaho State,MIA,Miami Dolphins
Jalin Conyers,47,TE,ACT,0,265,1,Texas Tech,MIA,Miami Dolphins
Dee Eskridge,82,WR,ACT,0,190,5,Western Michigan,MIA,Miami Dolphins
Quinn Ewers,14,QB,ACT,0,214,1,Texas,MIA,Miami Dolphins
Erik Ezukanma,84,WR,ACT,0,206,3,Texas Tech,MIA,Miami Dolphins
Brett Gabbert,16,QB,ACT,0,210,1,Miami (Ohio),MIA,Miami Dolphins
Ollie Gordon II,31,RB,ACT,0,225,1,Oklahoma State,MIA,Miami Dolphins
A.J. Henning,88,WR,ACT,0,192,1,Northwestern,MIA,Miami Dolphins
Julian Hill,89,TE,ACT,0,251,3,Campbell University,MIA,Miami Dolphins
Tyreek Hill,10,WR,ACT,0,191,10,West Alabama,MIA,Miami Dolphins
Alexander Mattison,8,RB,ACT,0,220,7,Boise State,MIA,Miami Dolphins
Nate Noel,38,RB,ACT,0,187,1,Missouri,MIA,Miami Dolphins
Hayden Rucci,87,TE,ACT,0,247,1,Wisconsin,MIA,Miami Dolphins
Jason Sanders,7,K,ACT,0,195,8,New Mexico,MIA,Miami Dolphins
Jonnu Smith,9,TE,ACT,0,248,9,Florida International,MIA,Miami Dolphins
Tua Tagovailoa,1,QB,ACT,0,225,6,Alabama,MIA,Miami Dolphins
Jaylen Waddle,17,WR,ACT,0,185,5,Alabama,MIA,Miami Dolphins
Malik Washington,6,WR,ACT,0,191,2,Virginia,MIA,Miami Dolphins
Tahj Washington,83,WR,ACT,0,175,2,USC,MIA,Miami Dolphins
Theo Wease Jr.,81,WR,ACT,0,210,1,Missouri,MIA,Miami Dolphins
Nick Westbrook-Ikhine,18,WR,ACT,0,211,6,Indiana,MIA,Miami Dolphins
Zach Wilson,"",QB,ACT,0,214,5,BYU,MIA,Miami Dolphins
Jaylen Wright,25,RB,ACT,0,210,2,Tennessee,MIA,Miami Dolphins
