YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,New York Jets,14,187,774,4.1,42,5,33,17.6,3,1,5
2023,New York Jets,17,223,994,4.5,83,5,40,17.9,7,4,2
2022,New York Jets,7,80,463,5.8,62,4,20,25.0,3,1,0
TOTAL,,38,490,2231,4.6,83,14,93,19.0,13,6,7
