YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,New Orleans Saints,14,228,950,4.2,24,6,52,22.8,3,0,0
2023,New Orleans Saints,13,180,694,3.9,17,5,42,23.3,0,0,0
2022,New Orleans Saints,15,223,897,4.0,27,2,40,17.9,3,0,2
2021,New Orleans Saints,13,240,898,3.7,30,4,42,17.5,3,0,0
2020,New Orleans Saints,15,187,932,5.0,49,16,58,31.0,7,2,1
2019,New Orleans Saints,14,171,797,4.7,40,5,32,18.7,5,1,3
2018,New Orleans Saints,15,194,883,4.6,49,14,57,29.4,1,1,0
2017,New Orleans Saints,16,120,728,6.1,74,8,40,33.3,5,1,1
TOTAL,,115,1543,6779,4.4,74,60,363,23.5,27,5,7
