YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Tennessee Titans,15,238,1017,4.3,41,5,50,21.0,6,1,2
2023,Dallas Cowboys,17,252,1005,4.0,31,6,56,22.2,6,0,1
2022,Dallas Cowboys,16,193,1007,5.2,57,9,46,23.8,9,3,0
2021,Dallas Cowboys,15,130,719,5.5,58,2,35,26.9,4,1,0
2020,Dallas Cowboys,16,101,435,4.3,42,4,23,22.8,4,2,0
2019,Dallas Cowboys,15,86,455,5.3,44,2,21,24.4,4,1,1
TOTAL,,94,1000,4638,4.6,58,28,231,23.1,33,8,4
