YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Houston Texans,13,240,993,4.1,59,11,50,20.8,8,2,0
2023,Cincinnati Bengals,17,257,1034,4.0,44,9,59,23.0,3,1,0
2022,Cincinnati Bengals,14,210,814,3.9,40,7,47,22.4,4,1,0
2021,Cincinnati Bengals,16,292,1205,4.1,32,13,60,20.6,6,0,1
2020,Cincinnati Bengals,6,119,428,3.6,34,3,20,16.8,3,0,1
2019,Cincinnati Bengals,16,278,1137,4.1,41,5,56,20.1,6,1,0
2018,Cincinnati Bengals,14,237,1168,4.9,51,8,60,25.3,11,3,0
2017,Cincinnati Bengals,14,178,626,3.5,25,4,35,19.7,2,0,1
TOTAL,,110,1811,7405,4.1,59,60,387,21.4,43,8,3
