YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Atlanta Falcons,15,259,1196,4.6,37,10,61,23.6,4,0,0
2023,Atlanta Falcons,17,214,976,4.6,38,4,50,23.4,7,0,4
TOTAL,,32,473,2172,4.6,38,14,111,23.5,11,0,4
