YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,New England Patriots,15,207,801,3.9,33,7,40,19.3,2,0,6
2023,New England Patriots,12,156,619,4.0,64,4,36,23.1,1,1,1
2022,New England Patriots,17,210,1040,5.0,49,5,49,23.3,7,1,2
2021,New England Patriots,12,133,606,4.6,21,5,33,24.8,1,0,1
TOTAL,,56,706,3066,4.3,64,21,158,22.4,11,2,10
