YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Washington Commanders,12,169,729,4.3,40,8,43,25.4,4,2,2
2023,Washington Commanders,15,178,733,4.1,29,5,46,25.8,4,0,3
2022,Washington Commanders,12,205,797,3.9,24,2,49,23.9,2,0,2
TOTAL,,39,552,2259,4.1,40,15,138,25.0,10,2,7
