YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Detroit Lions,15,209,1156,5.5,70,12,57,27.3,9,2,0
2023,Detroit Lions,15,182,945,5.2,36,10,42,23.1,10,0,2
TOTAL,,30,391,2101,5.4,70,22,99,25.3,19,2,2
