YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Philadelphia Eagles,15,314,1838,5.8,72,13,73,23.2,15,7,2
2023,New York Giants,14,247,962,3.9,36,6,51,20.6,7,0,2
2022,New York Giants,16,295,1312,4.4,68,10,62,21.0,9,2,1
2021,New York Giants,13,162,593,3.7,41,2,27,16.7,3,1,1
2020,New York Giants,2,19,34,1.8,18,0,1,5.3,0,0,0
2019,New York Giants,13,217,1003,4.6,68,6,45,20.7,8,3,0
2018,New York Giants,16,261,1307,5.0,78,11,50,19.2,16,7,0
TOTAL,,89,1515,7049,4.7,78,48,309,20.4,58,20,6
