YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Jacksonville Jaguars,14,143,694,4.8,65,6,34,23.8,4,2,3
2023,Jacksonville Jaguars,17,50,132,2.6,12,2,12,24.0,0,0,1
TOTAL,,31,193,826,4.3,65,8,46,23.8,4,2,4
