YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Minnesota Vikings,15,233,1046,4.5,41,5,46,19.7,3,1,3
2023,Green Bay Packers,11,142,656,4.6,39,2,34,23.9,3,0,1
2022,Green Bay Packers,17,213,1121,5.3,36,2,54,25.4,6,0,3
2021,Green Bay Packers,15,171,799,4.7,57,4,37,21.6,5,1,1
2020,Green Bay Packers,14,201,1104,5.5,77,9,52,25.9,6,4,1
2019,Green Bay Packers,16,236,1084,4.6,56,16,55,23.3,5,2,2
2018,Green Bay Packers,12,133,728,5.5,67,8,41,30.8,4,1,1
2017,Green Bay Packers,12,81,448,5.5,46,4,21,25.9,6,1,0
TOTAL,,112,1410,6986,5.0,77,50,340,24.1,38,10,12
