YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Carolina Panthers,15,250,1195,4.8,38,10,62,24.8,8,0,1
2023,Carolina Panthers,17,238,902,3.8,22,5,59,24.8,4,0,0
2022,Carolina Panthers,15,95,466,4.9,35,2,23,24.2,3,0,0
2021,Carolina Panthers,17,172,612,3.6,26,5,36,20.9,3,0,1
TOTAL,,64,755,3175,4.2,38,22,180,23.8,18,0,2
