YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,San Francisco 49ers,12,153,789,5.2,38,3,37,24.2,9,0,3
2023,San Francisco 49ers,17,40,206,5.2,26,3,13,32.5,1,0,0
2022,San Francisco 49ers,16,43,258,6.0,55,1,10,23.3,1,1,0
TOTAL,,45,236,1253,5.3,55,7,60,25.4,11,1,3
