YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Green Bay Packers,15,278,1216,4.4,38,13,65,23.4,7,0,3
2023,Las Vegas Raiders,13,233,805,3.4,63,6,34,14.6,3,2,2
2022,Las Vegas Raiders,17,340,1653,4.9,86,12,93,27.4,7,2,2
2021,Las Vegas Raiders,15,217,872,4.0,28,9,45,20.7,2,0,2
2020,Las Vegas Raiders,15,273,1065,3.9,28,12,61,22.3,3,0,2
2019,Las Vegas Raiders,13,242,1150,4.8,51,7,53,21.9,8,2,1
TOTAL,,88,1583,6761,4.3,86,59,351,22.2,30,6,12
