YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Seattle Seahawks,11,153,573,3.8,28,7,28,18.3,5,0,1
2023,Seattle Seahawks,15,219,905,4.1,45,8,46,21.0,7,1,1
2022,Seattle Seahawks,15,228,1050,4.6,74,9,51,22.4,10,3,0
TOTAL,,41,600,2528,4.2,74,24,125,20.8,22,4,2
