YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Philadelphia Eagles,15,361,248,68.7,2903,8.0,67,18,5,139,38.5,43,38,271,103.7
2023,Philadelphia Eagles,17,538,352,65.4,3858,7.2,63,23,15,185,34.4,48,36,222,89.1
2022,Philadelphia Eagles,15,460,306,66.5,3701,8.0,68,22,6,165,35.9,52,38,231,101.6
2021,Philadelphia Eagles,15,432,265,61.3,3144,7.3,91,16,9,143,33.1,44,26,150,87.2
2020,Philadelphia Eagles,15,148,77,52.0,1061,7.2,81,6,4,45,30.4,16,13,59,77.6
TOTAL,,77,1939,1248,64.4,14667,7.6,91,85,39,677,34.9,203,151,933,93.5
