YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Detroit Lions,14,185,775,4.2,21,12,50,27.0,1,0,2
2023,Detroit Lions,14,219,1015,4.6,75,13,59,26.9,4,2,2
2022,Chicago Bears,16,201,801,4.0,28,5,41,20.4,2,0,1
2021,Chicago Bears,13,225,849,3.8,41,7,55,24.4,5,1,1
2020,Chicago Bears,15,247,1070,4.3,80,8,59,23.9,5,2,0
2019,Chicago Bears,16,242,889,3.7,55,6,50,20.7,3,1,2
TOTAL,,88,1319,5399,4.1,80,51,314,23.8,20,6,8
