YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Atlanta Falcons,15,125,573,4.6,25,3,38,30.4,4,0,0
2023,Atlanta Falcons,17,186,683,3.7,31,4,39,21.0,2,0,0
2022,Atlanta Falcons,16,210,1035,4.9,44,3,53,25.2,6,3,0
TOTAL,,48,521,2291,4.4,44,10,130,25.0,12,3,0
