YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Arizona Cardinals,16,236,1094,4.6,53,8,66,28.0,6,2,2
2023,Arizona Cardinals,13,208,1040,5.0,44,7,57,27.4,11,1,0
2022,Arizona Cardinals,13,183,782,4.3,23,7,48,26.2,3,0,3
2021,Arizona Cardinals,15,202,752,3.7,35,15,53,26.2,3,0,2
2020,Pittsburgh Steelers,13,169,721,4.3,59,6,42,24.8,5,1,2
2019,Pittsburgh Steelers,10,116,464,4.0,25,4,26,22.4,2,0,1
2018,Pittsburgh Steelers,13,215,973,4.5,30,12,56,26.0,9,0,3
2017,Pittsburgh Steelers,14,32,144,4.5,23,0,4,12.5,1,0,0
TOTAL,,107,1361,5970,4.4,59,59,352,25.9,40,4,13
