YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Tampa Bay Buccaneers,14,138,583,4.2,56,3,32,23.2,2,1,2
2023,Tampa Bay Buccaneers,17,272,990,3.6,38,6,46,16.9,3,0,2
2022,Tampa Bay Buccaneers,17,129,481,3.7,35,1,27,20.9,2,0,1
TOTAL,,48,539,2054,3.8,56,10,105,19.5,7,1,5
