YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Indianapolis Colts,12,237,1129,4.8,70,8,52,21.9,10,4,2
2023,Indianapolis Colts,10,169,741,4.4,49,7,42,24.8,4,2,1
2022,Indianapolis Colts,11,192,861,4.5,66,4,39,20.3,5,1,3
2021,Indianapolis Colts,17,332,1811,5.4,83,18,107,32.2,14,5,3
2020,Indianapolis Colts,15,232,1169,5.0,62,11,69,29.7,7,3,1
TOTAL,,65,1162,5711,4.9,83,48,309,26.6,40,15,10
