YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Kansas City Chiefs,13,200,728,3.6,20,7,42,21.0,1,0,0
2023,Cleveland Browns,15,135,411,3.0,16,9,38,28.2,0,0,0
2022,Cleveland Browns,17,123,468,3.8,24,3,30,24.4,2,0,1
2021,Cleveland Browns,8,78,386,5.0,33,5,22,28.2,2,0,0
2020,Cleveland Browns,16,198,841,4.2,33,6,44,22.2,3,0,1
2019,Cleveland Browns,8,43,179,4.2,16,2,8,18.6,0,0,1
2018,Kansas City Chiefs,11,181,824,4.6,45,7,46,25.4,7,1,0
2017,Kansas City Chiefs,16,272,1327,4.9,69,8,60,22.1,12,3,1
TOTAL,,104,1230,5164,4.2,69,47,290,23.6,27,4,4
