YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Los Angeles Rams,16,316,1299,4.1,30,14,85,26.9,2,0,5
2023,Los Angeles Rams,12,228,1144,5.0,56,12,62,27.2,7,1,2
2022,Los Angeles Rams,10,35,139,4.0,17,0,6,17.1,0,0,0
TOTAL,,38,579,2582,4.5,56,26,153,26.4,9,1,7
