YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Cincinnati Bengals,16,229,990,4.3,40,7,49,21.4,8,1,2
2023,Cincinnati Bengals,12,44,179,4.1,31,0,6,13.6,2,0,1
TOTAL,,28,273,1169,4.3,40,7,55,20.1,10,1,3
