WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Eagles,L 19 - 24,23,36,237,6.6,2,0,3,31,101.3,8,79,9.9,0,2.0,0.0
15,@Giants,W 35 - 14,21,25,290,11.6,5,0,2,10,154.6,6,65,10.8,0,1.0,1.0
16,Steelers,W 34 - 17,15,23,207,9.0,3,1,1,9,115.4,9,22,2.4,0,1.0,0.0
17,@Texans,W 31 - 2,10,15,168,11.2,2,0,1,3,143.9,4,87,21.8,1,,
1,@Chiefs,L 20 - 27,26,41,273,6.7,1,0,1,6,90.8,16,122,7.6,0,1.0,1.0
2,Raiders,L 23 - 26,21,34,247,7.3,1,1,2,15,81.4,5,45,9.0,0,,
3,@Cowboys,W 28 - 25,12,15,182,12.1,1,0,0,0,139.4,14,87,6.2,1,,
4,Bills,W 35 - 10,13,18,156,8.7,2,0,1,1,135.4,6,54,9.0,1,1.0,1.0
5,@Bengals,W 41 - 38,26,42,348,8.3,4,0,1,3,119.9,12,55,4.6,0,2.0,1.0
6,Commanders,W 30 - 23,20,26,323,12.4,1,1,2,15,114.7,11,40,3.6,0,0.0,0.0
7,@Buccaneers,W 41 - 31,17,22,281,12.8,5,0,2,17,158.1,9,52,5.8,0,1.0,1.0
8,@Browns,L 24 - 29,23,38,289,7.6,2,0,3,26,101.8,8,46,5.8,0,,
9,Broncos,W 41 - 10,16,19,280,14.7,3,0,1,11,158.3,3,4,1.3,0,1.0,0.0
10,Bengals,W 35 - 34,25,33,290,8.8,4,0,0,0,141.4,7,33,4.7,0,,
11,@Steelers,L 16 - 18,16,33,207,6.3,1,1,2,2,66.1,4,46,11.5,0,,
12,@Chargers,W 30 - 23,16,22,177,8.0,2,0,1,0,126.5,8,15,1.9,1,,
