WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Cardinals,W 23 - 22,5,22,4.4,8,0,3,6,2.0,5,1,2.0,1.0
14,Falcons,W 42 - 21,13,73,5.6,15,1,2,11,5.5,6,0,,
15,Bears,W 30 - 12,18,86,4.8,14,1,2,20,10.0,17,0,,
16,@Seahawks,W 27 - 24,18,67,3.7,14,0,3,26,8.7,15,0,,
1,@Giants,W 28 - 6,14,94,6.7,19,1,2,15,7.5,9,0,,
2,49ers,W 23 - 17,9,32,3.6,9,0,5,36,7.2,18,0,1.0,1.0
3,Texans,W 34 - 7,19,102,5.4,39,0,5,46,9.2,20,1,,
4,@Packers,W 31 - 29,22,93,4.2,17,0,4,46,11.5,14,0,,
5,Jets,W 23 - 17,7,29,4.1,9,0,1,24,24.0,24,0,,
7,Lions,L 29 - 31,14,93,6.6,34,1,3,23,7.7,17,0,,
8,@Rams,L 20 - 30,19,58,3.0,9,0,2,37,18.5,25,0,,
9,Colts,W 21 - 13,21,64,3.0,13,0,4,18,4.5,22,0,,
10,@Jaguars,W 12 - 7,17,88,5.2,13,0,2,13,6.5,8,0,,
11,@Titans,W 23 - 13,15,39,2.6,5,0,1,4,4.0,4,0,1.0,0.0
12,@Bears,W 30 - 27,22,106,4.8,41,1,3,23,7.7,14,0,1.0,1.0
