WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Panthers,W 26 - 23,25,152,6.1,43,1,3.0,33.0,11.0,16.0,0.0,0.0,0.0
14,Raiders,W 28 - 13,4,3,0.8,2,0,1.0,15.0,15.0,15.0,0.0,,
15,@Chargers,W 40 - 17,15,117,7.8,54,0,2.0,-4.0,-2.0,-1.0,0.0,,
16,@Cowboys,L 24 - 26,16,68,4.2,15,1,3.0,24.0,8.0,12.0,0.0,,
1,Commanders,W 37 - 20,9,62,6.9,31,0,2.0,14.0,7.0,9.0,0.0,,
2,@Lions,W 20 - 16,7,22,3.1,6,0,,,,,,,
3,Broncos,L 7 - 26,9,70,7.8,32,0,3.0,14.0,4.7,6.0,0.0,,
4,Eagles,W 33 - 16,10,49,4.9,15,1,1.0,6.0,6.0,6.0,0.0,,
5,@Falcons,L 30 - 36,9,44,4.9,16,0,2.0,12.0,6.0,9.0,0.0,1.0,1.0
6,@Saints,W 51 - 27,14,81,5.8,31,1,2.0,24.0,12.0,18.0,0.0,,
7,Ravens,L 31 - 41,9,23,2.6,6,1,3.0,54.0,18.0,25.0,0.0,,
8,Falcons,L 26 - 31,9,44,4.9,15,0,7.0,40.0,5.7,13.0,0.0,,
9,@Chiefs,L 24 - 30,7,24,3.4,8,0,3.0,10.0,3.3,7.0,0.0,,
10,49ers,L 20 - 23,13,73,5.6,14,1,3.0,14.0,4.7,12.0,0.0,0.0,0.0
12,@Giants,W 30 - 7,12,88,7.3,56,1,6.0,64.0,10.7,32.0,0.0,1.0,0.0
