YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Buffalo Bills,15,456,291,63.8,3549,7.8,64,26,6,164,36.0,52,14,63,101.2
2023,Buffalo Bills,17,579,385,66.5,4306,7.4,81,29,18,199,34.4,49,24,152,92.2
2022,Buffalo Bills,16,567,359,63.3,4283,7.6,98,35,14,212,37.4,51,33,162,96.6
2021,Buffalo Bills,17,646,409,63.3,4407,6.8,61,36,15,234,36.2,51,26,164,92.2
2020,Buffalo Bills,16,572,396,69.2,4544,7.9,55,37,10,228,39.9,62,26,159,107.2
2019,Buffalo Bills,16,461,271,58.8,3089,6.7,53,20,9,146,31.7,47,38,237,85.3
2018,Buffalo Bills,12,320,169,52.8,2074,6.5,75,10,12,89,27.8,30,28,213,67.9
TOTAL,,109,3601,2280,63.3,26252,7.3,98,193,84,1272,35.3,342,189,1150,93.4
