YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Minnesota Vikings,15,461,310,67.2,3776,8.2,97,32,11,180,39.0,55,45,306,105.4
2023,San Francisco 49ers,10,46,28,60.9,297,6.5,48,2,1,15,32.6,3,6,40,85.1
2022,Carolina Panthers,6,140,82,58.6,1143,8.2,52,7,3,57,40.7,17,10,78,92.6
2021,Carolina Panthers,12,406,243,59.8,2527,6.2,63,9,13,123,30.3,30,35,204,71.9
2020,New York Jets,12,364,217,59.6,2208,6.1,69,9,11,109,30.0,27,35,234,72.7
2019,New York Jets,13,441,273,61.9,3024,6.9,92,19,13,147,33.3,40,33,212,84.3
2018,New York Jets,13,414,239,57.7,2865,6.9,76,17,15,130,31.4,40,30,204,77.6
TOTAL,,81,2272,1392,61.3,15840,7.0,97,95,67,761,33.5,212,194,1278,83.8
