YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Baltimore Ravens,16,442,300,67.9,3955,9.0,84,39,4,186,42.1,53,23,149,121.6
2023,Baltimore Ravens,16,457,307,67.2,3678,8.0,80,24,7,167,36.5,51,37,218,102.7
2022,Baltimore Ravens,12,326,203,62.3,2242,6.9,75,17,7,105,32.2,24,26,114,91.1
2021,Baltimore Ravens,12,382,246,64.4,2882,7.5,49,16,13,135,35.3,41,38,190,87.0
2020,Baltimore Ravens,15,376,242,64.4,2757,7.3,47,26,9,138,36.7,37,29,160,99.4
2019,Baltimore Ravens,15,401,265,66.1,3127,7.8,83,36,6,161,40.2,42,23,106,113.3
2018,Baltimore Ravens,16,170,99,58.2,1201,7.1,74,6,3,60,35.3,13,16,71,84.5
TOTAL,,102,2554,1662,65.1,19842,7.8,84,164,49,952,37.3,261,192,1008,102.1
