YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Miami Dolphins,11,399,291,72.9,2867,7.2,80,19,7,161,40.4,29,21,154,101.4
2023,Miami Dolphins,17,560,388,69.3,4624,8.3,78,29,14,222,39.6,58,29,171,101.1
2022,Miami Dolphins,13,400,259,64.8,3548,8.9,84,25,8,162,40.5,50,21,163,105.5
2021,Miami Dolphins,13,388,263,67.8,2653,6.8,65,16,10,137,35.3,30,20,152,90.1
2020,Miami Dolphins,10,290,186,64.1,1814,6.3,35,11,5,100,34.5,15,20,136,87.0
TOTAL,,64,2037,1387,68.1,15506,7.6,84,100,44,782,38.4,182,111,776,97.9
