YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Chicago Bears,16,533,330,61.9,3393,6.4,47,19,6,161,30.2,39,67,459,87.4
TOTAL,,16,533,330,61.9,3393,6.4,47,19,6,161,30.2,39,67,459,87.4
