YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Cincinnati Bengals,16,606,423,69.8,4641,7.7,70,42,8,238,39.3,49,44,247,109.8
2023,Cincinnati Bengals,10,365,244,66.8,2309,6.3,64,15,6,115,31.5,21,24,180,91.0
2022,Cincinnati Bengals,16,606,414,68.3,4475,7.4,60,35,12,219,36.1,53,41,259,100.8
2021,Cincinnati Bengals,16,520,366,70.4,4611,8.9,82,34,14,202,38.8,60,51,370,108.3
2020,Cincinnati Bengals,10,404,264,65.4,2688,6.6,67,13,5,150,37.1,23,32,231,89.8
TOTAL,,68,2501,1711,68.4,18724,7.5,82,139,45,924,36.9,206,192,1287,101.3
