YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Arizona Cardinals,16,506,347,68.6,3609,7.1,60,17,11,177,35.0,39,30,220,91.1
2023,Arizona Cardinals,8,268,176,65.7,1799,6.7,48,10,5,88,32.8,22,18,119,89.4
2022,Arizona Cardinals,11,390,259,66.4,2368,6.1,38,14,7,119,30.5,27,25,192,87.2
2021,Arizona Cardinals,14,481,333,69.2,3787,7.9,77,24,10,172,35.8,49,31,286,100.6
2020,Arizona Cardinals,16,558,375,67.2,3971,7.1,80,26,12,205,36.7,44,27,176,94.3
2019,Arizona Cardinals,16,542,349,64.4,3722,6.9,88,20,12,173,31.9,47,48,309,87.4
TOTAL,,81,2745,1839,67.0,19256,7.0,88,111,57,934,34.0,228,179,1302,92.0
