YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Los Angeles Chargers,16,468,304,65.0,3524,7.5,66,21,3,162,34.6,50,40,232,99.9
2023,Los Angeles Chargers,13,456,297,65.1,3134,6.9,60,20,7,150,32.9,42,29,233,93.2
2022,Los Angeles Chargers,17,699,477,68.2,4739,6.8,55,25,10,228,32.6,50,38,206,93.2
2021,Los Angeles Chargers,17,672,443,65.9,5014,7.5,72,38,15,256,38.1,53,31,214,97.7
2020,Los Angeles Chargers,15,595,396,66.6,4336,7.3,72,31,10,216,36.3,51,32,218,98.3
TOTAL,,78,2890,1917,66.3,20747,7.2,72,135,45,1012,35.0,246,170,1103,96.4
