YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Green Bay Packers,13,383,242,63.2,3135,8.2,70,24,11,137,35.8,47,11,77,97.8
2023,Green Bay Packers,17,579,372,64.2,4159,7.2,77,32,11,209,36.1,55,30,242,96.1
2022,Green Bay Packers,4,21,14,66.7,195,9.3,63,1,0,9,42.9,2,0,0,112.2
2021,Green Bay Packers,6,62,36,58.1,411,6.6,62,2,3,22,35.5,6,3,23,68.7
TOTAL,,40,1045,664,63.5,7900,7.6,77,59,25,377,36.1,110,44,342,95.4
