YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,San Francisco 49ers,14,420,273,65.0,3487,8.3,76,17,10,161,38.3,51,29,141,94.4
2023,San Francisco 49ers,16,444,308,69.4,4280,9.6,76,31,11,192,43.2,72,28,153,113.0
2022,San Francisco 49ers,9,170,114,67.1,1374,8.1,54,13,4,66,38.8,20,11,84,107.3
TOTAL,,39,1034,695,67.2,9141,8.8,76,61,25,419,40.5,143,68,378,104.5
