year,week,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game
2024,22,00-0034844,S.Barkley,PHI,RB,1,9.7,15.7,9.7,15.7
2024,22,00-0033923,K.Hunt,KC,RB,1,1.4,2.4,1.4,2.4
2024,22,00-0037197,I.Pacheco,KC,RB,1,1.2,2.2,1.2,2.2
2024,22,00-0036919,K.Gainwell,PHI,RB,1,1.0,1.0,1.0,1.0
2024,22,00-0033526,S.Perine,KC,RB,1,0.8,0.8,0.8,0.8
2024,21,00-0034844,S.Barkley,PHI,RB,1,30.2,31.2,30.2,31.2
2024,21,00-0037248,J.Cook,BUF,RB,1,25.4,28.4,25.4,28.4
2024,21,00-0033923,K.Hunt,KC,RB,1,13.0,14.0,13.0,14.0
2024,21,00-0039746,W.Shipley,PHI,RB,1,13.7,13.7,13.7,13.7
2024,21,00-0033699,A.Ekeler,WAS,RB,1,3.2,8.2,3.2,8.2
2024,21,00-0037197,I.Pacheco,KC,RB,1,2.4,4.4,2.4,4.4
2024,21,00-0036919,K.Gainwell,PHI,RB,1,2.4,4.4,2.4,4.4
2024,21,00-0037746,B.Robinson,WAS,RB,1,3.6,3.6,3.6,3.6
2024,21,00-0035537,T.Johnson,BUF,RB,1,1.9,2.9,1.9,2.9
2024,21,00-0033526,S.Perine,KC,RB,1,1.7,2.7,1.7,2.7
2024,21,00-0039875,R.Davis,BUF,RB,1,0.4,0.4,0.4,0.4
2024,20,00-0034844,S.Barkley,PHI,RB,1,35.2,39.2,35.2,39.2
2024,20,00-0039139,J.Gibbs,DET,RB,1,29.5,35.5,29.5,35.5
2024,20,00-0037746,B.Robinson,WAS,RB,1,19.7,19.7,19.7,19.7
2024,20,00-0033897,J.Mixon,HOU,RB,1,16.0,18.0,16.0,18.0
2024,20,00-0032764,D.Henry,BAL,RB,1,14.4,14.4,14.4,14.4
2024,20,00-0033699,A.Ekeler,WAS,RB,1,8.8,12.8,8.8,12.8
2024,20,00-0033923,K.Hunt,KC,RB,1,10.6,11.6,10.6,11.6
2024,20,00-0037840,K.Williams,LA,RB,1,10.5,11.5,10.5,11.5
2024,20,00-0037248,J.Cook,BUF,RB,1,8.2,11.2,8.2,11.2
2024,20,00-0039875,R.Davis,BUF,RB,1,8.9,8.9,8.9,8.9
2024,20,00-0034975,J.Hill,BAL,RB,1,5.7,7.7,5.7,7.7
2024,20,00-0033955,J.McNichols,WAS,RB,1,6.8,6.8,6.8,6.8
2024,20,00-0035537,T.Johnson,BUF,RB,1,3.9,4.9,3.9,4.9
2024,20,00-0035685,D.Montgomery,DET,RB,1,3.8,3.8,3.8,3.8
2024,20,00-0036919,K.Gainwell,PHI,RB,1,2.0,3.0,2.0,3.0
2024,20,00-0033854,D.Ogunbowale,HOU,RB,1,0.9,1.9,0.9,1.9
2024,20,00-0037197,I.Pacheco,KC,RB,1,1.8,1.8,1.8,1.8
2024,20,00-0037258,D.Pierce,HOU,RB,1,1.0,1.0,1.0,1.0
2024,20,00-0033526,S.Perine,KC,RB,1,0.0,0.0,0.0,0.0
2024,19,00-0032764,D.Henry,BAL,RB,1,30.6,30.6,30.6,30.6
2024,19,00-0035700,J.Jacobs,GB,RB,1,18.1,21.1,18.1,21.1
2024,19,00-0033897,J.Mixon,HOU,RB,1,17.9,18.9,17.9,18.9
2024,19,00-0037840,K.Williams,LA,RB,1,15.2,18.2,15.2,18.2
2024,19,00-0037248,J.Cook,BUF,RB,1,18.0,18.0,18.0,18.0
2024,19,00-0039361,B.Irving,TB,RB,1,14.3,16.3,14.3,16.3
2024,19,00-0035537,T.Johnson,BUF,RB,1,13.0,15.0,13.0,15.0
2024,19,00-0034844,S.Barkley,PHI,RB,1,12.3,14.3,12.3,14.3
2024,19,00-0034975,J.Hill,BAL,RB,1,8.5,12.5,8.5,12.5
2024,19,00-0033293,A.Jones,MIN,RB,1,6.0,9.0,6.0,9.0
2024,19,00-0036893,N.Harris,PIT,RB,1,5.8,8.8,5.8,8.8
2024,19,00-0033699,A.Ekeler,WAS,RB,1,5.3,8.3,5.3,8.3
2024,19,00-0037746,B.Robinson,WAS,RB,1,3.8,7.8,3.8,7.8
2024,19,00-0037228,J.Warren,PIT,RB,1,2.5,6.5,2.5,6.5
2024,19,00-0036997,J.Williams,DEN,RB,1,4.3,6.3,4.3,6.3
2024,19,00-0038797,E.Wilson,GB,RB,1,2.9,3.9,2.9,3.9
2024,19,00-0036414,C.Akers,MIN,RB,1,3.9,3.9,3.9,3.9
2024,19,00-0037256,R.White,TB,RB,1,1.5,3.5,1.5,3.5
2024,19,00-0038685,C.Brooks,GB,RB,1,0.9,2.9,0.9,2.9
2024,19,00-0036158,J.Dobbins,LAC,RB,1,2.6,2.6,2.6,2.6
2024,19,00-0034184,G.Edwards,LAC,RB,1,2.2,2.2,2.2,2.2
2024,19,00-0037258,D.Pierce,HOU,RB,1,1.5,1.5,1.5,1.5
2024,19,00-0036919,K.Gainwell,PHI,RB,1,1.4,1.4,1.4,1.4
2024,19,00-0037557,R.Rivers,LA,RB,1,0.8,0.8,0.8,0.8
2024,19,00-0038794,J.McLaughlin,DEN,RB,1,-0.2,0.8,-0.2,0.8
2024,19,00-0037085,T.Badie,DEN,RB,1,0.8,0.8,0.8,0.8
2024,19,00-0037617,H.Haskins,LAC,RB,1,0.5,0.5,0.5,0.5
