city,state,stadium_name,Date,Time,latitude,longitude,timezone,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
Glendale,AZ,State Farm Stadium,2018-09-23,4:25PM,33.5275,-112.2625,America/Phoenix,37.1,0.0,25.2,21,1005.0
Seattle,WA,Lumen Field,2018-09-23,4:25PM,47.5952,-122.3316,America/Los_Angeles,16.9,0.0,18.0,54,1020.7
Detroit,MI,Ford Field,2018-09-23,8:20PM,42.34,-83.0456,America/Detroit,16.7,0.0,33.480000000000004,71,1022.0
Inglewood,CA,SoFi Stadium,2018-09-27,8:20PM,33.9535,-118.3392,America/Los_Angeles,19.8,0.0,39.24,86,1010.0
Tampa,FL,Raymond James Stadium,2018-09-24,8:15PM,27.9759,-82.5033,America/New_York,25.9,0.0,31.319999999999997,85,1016.9
Atlanta,GA,Mercedes-Benz Stadium,2018-09-30,1:00PM,33.755,-84.4008,America/New_York,24.8,0.1,41.76,81,1023.9
Green Bay,WI,Lambeau Field,2018-09-30,1:00PM,44.5013,-88.0622,America/Chicago,10.2,0.0,27.720000000000002,70,1024.2
Chicago,IL,Soldier Field,2018-09-30,1:00PM,41.8623,-87.6167,America/Chicago,18.3,0.3,23.040000000000003,85,1020.8
Indianapolis,IN,Lucas Oil Stadium,2018-09-30,1:00PM,39.7601,-86.1639,America/Indiana/Indianapolis,23.4,0.0,36.72,62,1022.9
Arlington,TX,AT&T Stadium,2018-09-30,1:00PM,32.7473,-97.0945,America/Chicago,26.4,0.1,25.56,72,1019.6
Jacksonville,FL,TIAA Bank Field,2018-09-30,1:00PM,30.3239,-81.6373,America/New_York,28.6,0.1,52.92,79,1021.7
Foxborough,MA,Gillette Stadium,2018-09-30,1:00PM,42.0909,-71.2643,America/New_York,18.3,0.0,30.240000000000002,46,1026.4
Nashville,TN,Nissan Stadium,2018-09-30,1:00PM,36.1665,-86.7713,America/Chicago,27.2,0.0,2.8800000000000003,63,1022.7
Las Vegas,NV,Allegiant Stadium,2018-09-30,4:05PM,36.0908,-115.183,America/Los_Angeles,32.8,0.0,85.32,21,1006.6
Glendale,AZ,State Farm Stadium,2018-09-30,4:05PM,33.5275,-112.2625,America/Phoenix,35.4,0.0,50.76,25,1007.5
East Rutherford,NJ,MetLife Stadium,2018-09-30,4:25PM,40.8136,-74.0744,America/New_York,20.3,0.0,40.32,62,1025.9
Pittsburgh,PA,Acrisure Stadium,2018-09-30,8:20PM,40.4468,-80.0158,America/New_York,19.4,0.0,23.759999999999998,78,1022.6
Inglewood,CA,SoFi Stadium,2018-09-30,4:25PM,33.9535,-118.3392,America/Los_Angeles,21.2,0.0,68.76,69,1010.2
Denver,CO,Empower Field at Mile High,2018-10-01,8:15PM,39.7439,-105.0201,America/Denver,13.5,0.0,22.68,77,1014.9
Foxborough,MA,Gillette Stadium,2018-10-04,8:20PM,42.0909,-71.2643,America/New_York,18.2,0.0,41.4,97,1013.8
Charlotte,NC,Bank of America Stadium,2018-10-07,1:00PM,35.2258,-80.8528,America/New_York,26.1,0.1,14.76,82,1023.7
Pittsburgh,PA,Acrisure Stadium,2018-10-07,1:00PM,40.4468,-80.0158,America/New_York,27.5,0.0,20.88,73,1022.3
Orchard Park,NY,Highmark Stadium,2018-10-07,1:00PM,42.7738,-78.7868,America/New_York,19.3,0.0,31.680000000000003,84,1023.6
Cleveland,OH,FirstEnergy Stadium,2018-10-07,1:00PM,41.5061,-81.6995,America/New_York,19.6,0.0,55.080000000000005,90,1023.0
Cincinnati,OH,Paycor Stadium,2018-10-07,1:00PM,39.0954,-84.516,America/New_York,29.1,0.1,27.720000000000002,58,1021.5
East Rutherford,NJ,MetLife Stadium,2018-10-07,1:00PM,40.8136,-74.0744,America/New_York,25.1,0.0,46.800000000000004,76,1022.0
Detroit,MI,Ford Field,2018-10-07,1:00PM,42.34,-83.0456,America/Detroit,16.5,0.1,55.800000000000004,82,1024.0
Santa Clara,CA,Levi's Stadium,2018-10-07,4:25PM,37.403,-121.9692,America/Los_Angeles,25.4,0.0,82.08,30,1009.0
Inglewood,CA,SoFi Stadium,2018-10-07,4:05PM,33.9535,-118.3392,America/Los_Angeles,20.9,0.0,52.56,77,1007.3
Kansas City,MO,GEHA Field at Arrowhead Stadium,2018-10-07,1:00PM,39.049,-94.4839,America/Chicago,19.0,1.3,33.480000000000004,95,1016.6
Philadelphia,PA,Lincoln Financial Field,2018-10-07,4:25PM,39.9008,-75.1675,America/New_York,27.4,0.0,40.68000000000001,70,1021.4
Seattle,WA,Lumen Field,2018-10-07,4:25PM,47.5952,-122.3316,America/Los_Angeles,12.2,0.4,31.319999999999997,87,1020.8
New Orleans,LA,Caesars Superdome,2018-10-08,8:15PM,29.9509,-90.0815,America/Chicago,24.3,2.4,62.28,92,1012.0
East Rutherford,NJ,MetLife Stadium,2018-10-11,8:20PM,40.8136,-74.0744,America/New_York,21.8,1.4,42.84,98,1002.2
Houston,TX,NRG Stadium,2018-10-07,8:20PM,29.6847,-95.4107,America/Chicago,24.9,0.0,47.88,91,1012.3
