YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,New York Giants,13,5,2,0.4,4,0,1,20,0,0,0
TOTAL,,13,5,2,0.4,4,0,1,20,0,0,0
